;region;district;blr_name;rus_name;id;latitude;longtitude
71;Брэсцкая;Баранавіцкі;Звераўшчына;Зверовщина;242991722;53.21065;25.70586
72;Брэсцкая;Баранавіцкі;Небыты;Небыты;242991672;53.13495;25.77212
73;Брэсцкая;Баранавіцкі;Пераносіны;Переносины;242991725;53.17469;25.72972
74;Брэсцкая;Баранавіцкі;Сасновая;Сосновая;242991675;53.0940481;25.7465031
75;Брэсцкая;Баранавіцкі;Свіраны;Свираны;242991689;53.18867;25.71496
76;Брэсцкая;Баранавіцкі;Сеўрукі;Севруки;242991646;53.13065;25.80405
77;Брэсцкая;Баранавіцкі;Спачынак;Спочинок;242991664;53.1201097;25.8207179
78;Брэсцкая;Баранавіцкі;Цівунцы;Тиунцы;242991661;53.1041962;25.754913
79;Брэсцкая;Баранавіцкі;Цяплівады;Тепливоды;242991699;53.1506244;25.810114
80;Брэсцкая;Баранавіцкі;Алізараўшчына;Олизаровщина;2798146392;53.355854;26.0879744
81;Брэсцкая;Баранавіцкі;Быткоўшчына;Бытковщина;242994654;53.3480978;26.1116854
82;Брэсцкая;Баранавіцкі;Вызарак;Вызорок;242994620;53.31047;26.09845
83;Брэсцкая;Баранавіцкі;Высадавічы;Высадовичи;242994591;53.36643;26.18729
84;Брэсцкая;Баранавіцкі;Грачыхі;Гречихи;242994573;53.3632823;26.0788026
85;Брэсцкая;Баранавіцкі;Карчова;Карчёво;242994660;53.36557;26.11948
86;Брэсцкая;Баранавіцкі;Кутаўшчына;Кутовщина;242994581;53.3517397;26.079962
87;Брэсцкая;Баранавіцкі;Мітрапольшчына;Митропольщина;242994605;53.3640124;26.1483043
88;Брэсцкая;Баранавіцкі;Пянчын;Пенчин;242994648;53.331398;26.1350595
89;Брэсцкая;Баранавіцкі;Пярэвалака;Переволока;242994614;53.3166949;26.066522
90;Брэсцкая;Баранавіцкі;Рудашы;Рудаши;242994603;53.3695775;26.1593885
91;Брэсцкая;Баранавіцкі;Савецкі;Советский;1639707419;53.3415832;26.105276
92;Брэсцкая;Баранавіцкі;Скробава;Скробово;242994504;53.3272908;26.1025028
93;Брэсцкая;Баранавіцкі;Трацэвічы;Трацевичи;242994570;53.3582185;26.1353858
94;Брэсцкая;Баранавіцкі;Адахаўшчына;Адаховщина;242994531;53.1535547;26.1536076
95;Брэсцкая;Баранавіцкі;Анісімавічы;Анисимовичи;242992577;53.1467003;25.983471
96;Брэсцкая;Баранавіцкі;Антанова;Антоново;242992602;53.16284;25.97666
97;Брэсцкая;Баранавіцкі;Вялікая Каўпеніца;Великая Колпеница;242992563;53.1689615;26.0308071
98;Брэсцкая;Баранавіцкі;Гірава;Гирово;242994519;53.13005;26.10197
99;Брэсцкая;Баранавіцкі;Дубава;Дубово;242994522;53.1554633;26.1096488
100;Брэсцкая;Баранавіцкі;Заброддзе;Забродье;242994515;53.1481743;26.1432367
101;Брэсцкая;Баранавіцкі;Лаўрынавічы;Лавриновичи;242994404;53.1530828;26.1313592
102;Брэсцкая;Баранавіцкі;Малая Каўпеніца;Малая Колпеница;242992565;53.1752028;26.0281311
103;Брэсцкая;Баранавіцкі;Новы Свет;Новый Свет;242994477;53.1814903;26.0621047
104;Брэсцкая;Баранавіцкі;Якімавічы;Якимовичи;242994558;53.16842;26.14197
105;Брэсцкая;Баранавіцкі;Альсевічы;Ольсевичи;242994474;53.1823774;26.1503198
106;Брэсцкая;Баранавіцкі;Дуброўна;Дубровно;242994486;53.20687;26.12154
107;Брэсцкая;Баранавіцкі;Залюбічы;Залюбичи;242996029;53.1683547;26.2247999
108;Брэсцкая;Баранавіцкі;Кломпікі;Кломпики;242996006;53.2001008;26.2413414
109;Брэсцкая;Баранавіцкі;Крошын;Крошин;242994549;53.1985619;26.1558193
110;Брэсцкая;Баранавіцкі;Макашы;Макаши;242996015;53.1918411;26.2529544
111;Брэсцкая;Баранавіцкі;Падлясейкі;Подлесейки;242996023;53.17889;26.25664
112;Брэсцкая;Баранавіцкі;Прыдаткі;Придатки;242994471;53.2171196;26.1769795
113;Брэсцкая;Баранавіцкі;Скарчава;Скарчево;242994552;53.19623;26.10523
114;Брэсцкая;Баранавіцкі;Стары Двор;Старый Двор;242994494;53.18704;26.19235
115;Брэсцкая;Баранавіцкі;Уласы;Уласы;242994468;53.23623;26.12017
116;Брэсцкая;Баранавіцкі;Юшкавічы;Юшковичи;242996018;53.2146;26.2199
117;Брэсцкая;Баранавіцкі;Ятвезь;Ятвезь;242996032;53.16533;26.2999
118;Брэсцкая;Баранавіцкі;Бярозаўка;Берёзовка;242991653;53.0242607;25.7698325
119;Брэсцкая;Баранавіцкі;Груды;Груды;242991658;53.00637;25.85341
120;Брэсцкая;Баранавіцкі;Грыцавец;Грицевец;3127545397;53.041578;25.8667406
121;Брэсцкая;Баранавіцкі;Гута;Гута;242991817;52.9780092;25.8190403
122;Брэсцкая;Баранавіцкі;Лесіна;Лесино;242992245;53.04843;25.88388
123;Брэсцкая;Баранавіцкі;Лясная;Лесная;242991814;52.9812231;25.7702225
124;Брэсцкая;Баранавіцкі;Паўлінава;Павлиново;242991649;53.0272397;25.8196056
125;Брэсцкая;Баранавіцкі;Сваяшкі;Свояшки;242991805;52.98938;25.81298
126;Брэсцкая;Баранавіцкі;Тартакі;Тартаки;242991808;53.0228345;25.7282499
127;Брэсцкая;Баранавіцкі;Вялікая Валахва;Великая Волохва;242992235;53.06929;25.9873
128;Брэсцкая;Баранавіцкі;Глінішча;Глинище;242992618;53.08723;26.01022
129;Брэсцкая;Баранавіцкі;Емяльянаўка;Емельяновка;242992242;53.026634;25.9304845
130;Брэсцкая;Баранавіцкі;Замошша;Замошье;2798232546;53.0407873;25.9734301
131;Брэсцкая;Баранавіцкі;Кунцавічы;Кунцевичи;242992590;53.07521;25.94705
132;Брэсцкая;Баранавіцкі;Малахоўцы;Малаховцы;242992239;53.0482715;25.9654667
133;Брэсцкая;Баранавіцкі;Малая Валахва;Малая Волохва;242992593;53.06997;25.98052
134;Брэсцкая;Баранавіцкі;Мірны;Мирный;2798262280;53.0354149;25.9821584
135;Брэсцкая;Баранавіцкі;Млынок;Млынок;242992247;53.0222345;25.9780596
136;Брэсцкая;Баранавіцкі;Светлы;Светлый;2798284160;53.0253163;25.912193
137;Брэсцкая;Баранавіцкі;Скварчыцы;Скварчицы;242992250;53.06757;25.96447
138;Брэсцкая;Баранавіцкі;Узногі;Узноги;242992610;53.1068949;26.0176671
139;Брэсцкая;Баранавіцкі;Ястрамбель;Ястрембель;242992232;53.0368229;25.9553271
140;Брэсцкая;Баранавіцкі;Андрэеўцы;Андреевцы;242991580;53.3616414;25.7506237
141;Брэсцкая;Баранавіцкі;Данейкі;Данейки;242991601;53.38592;25.73985
142;Брэсцкая;Баранавіцкі;Зорычы;Зоричи;242992496;53.2560823;25.8506197
143;Брэсцкая;Баранавіцкі;Катмінаўцы;Катминовцы;2800426655;53.2638866;25.855602
144;Брэсцкая;Баранавіцкі;Крупляны;Крупляны;242991555;53.3427239;25.699652
145;Брэсцкая;Баранавіцкі;Крутаўцы;Крутовцы;242991558;53.2962195;25.858474
146;Брэсцкая;Баранавіцкі;Кузявічы;Кузевичи;242991547;53.2825501;25.811961
147;Брэсцкая;Баранавіцкі;Малая Сваротва;Малая Своротва;242991568;53.3607959;25.6990788
148;Брэсцкая;Баранавіцкі;Міцкевічы;Мицкевичи;242991713;53.293323;25.7550536
149;Брэсцкая;Баранавіцкі;Моўчадзь;Молчадь;242991716;53.3146502;25.6954858
150;Брэсцкая;Баранавіцкі;Саўцавічы;Савцевичи;242990851;53.31133;25.65625
151;Брэсцкая;Баранавіцкі;Соргавічы;Сорговичи;242991550;53.32635;25.73762
152;Брэсцкая;Баранавіцкі;Страмілаўшчына;Стремиловщина;242991609;53.3782072;25.7413984
153;Брэсцкая;Баранавіцкі;Каўпакі;Колпаки;242991823;52.88406;25.76775
154;Брэсцкая;Баранавіцкі;Мілавіды;Миловиды;242992299;52.8950655;25.8516567
155;Брэсцкая;Баранавіцкі;Падасоўцы;Подосовцы;242991779;52.86484;25.77856
156;Брэсцкая;Баранавіцкі;Падкрыніца;Подкриница;242991820;52.9248209;25.8202454
157;Брэсцкая;Баранавіцкі;Стрэлава;Стрелово;242991811;52.9259512;25.8441841
158;Брэсцкая;Баранавіцкі;Ямічна;Ямично;242991795;52.88132;25.74371
159;Брэсцкая;Баранавіцкі;Завоссе;Заосье;242994627;53.2889814;26.1007123
160;Брэсцкая;Баранавіцкі;Круглікі;Круглики;242994633;53.2689749;26.1331919
161;Брэсцкая;Баранавіцкі;Мелехавічы;Мелеховичи;242994489;53.2506016;26.1223595
162;Брэсцкая;Баранавіцкі;Міхнаўшчына;Михновщина;242994639;53.29742;26.05768
163;Брэсцкая;Баранавіцкі;Мядзеневічы;Меденевичи;242994617;53.2879793;26.0757446
164;Брэсцкая;Баранавіцкі;Новыя Войкавічы;Новые Войковичи;242994630;53.2642011;26.1059888
165;Брэсцкая;Баранавіцкі;Стайкі;Стайки;242994497;53.2547635;26.1806329
166;Брэсцкая;Баранавіцкі;Старыя Войкавічы;Старые Войковичи;242994492;53.2523692;26.0964375
167;Брэсцкая;Баранавіцкі;Бараўцы;Боровцы;242992616;53.1163334;25.9238741
168;Брэсцкая;Баранавіцкі;Гінцавічы;Гинцевичи;242992596;53.0777;25.90448
169;Брэсцкая;Баранавіцкі;Дзераўная;Деревная;242991641;53.077629;25.8304412
170;Брэсцкая;Баранавіцкі;Драгабыль;Дрогобыль;242992538;53.2381873;25.947947
171;Брэсцкая;Баранавіцкі;Зорная;Зорная;242992581;53.13314;25.92679
172;Брэсцкая;Баранавіцкі;Казлякевічы;Козлякевичи;2798317061;53.167962;25.9392382
173;Брэсцкая;Баранавіцкі;Лугавая;Луговая;242992541;53.230298;25.8837341
174;Брэсцкая;Баранавіцкі;Магіляны;Могиляны;242992622;53.09658;25.89684
175;Брэсцкая;Баранавіцкі;Мір;Мир;242992606;53.17039;25.93452
176;Брэсцкая;Баранавіцкі;Новая Мыш;Новая Мышь;242992584;53.13975;25.90078
177;Брэсцкая;Баранавіцкі;Новы;Новый;2798344310;53.14555;25.9533784
178;Брэсцкая;Баранавіцкі;Пастарынне;Постаринье;242992548;53.2181962;25.9256585
179;Брэсцкая;Баранавіцкі;Прыазёрная;Приозёрная;242992574;53.1113519;25.9037909
180;Брэсцкая;Баранавіцкі;Пятрэвічы;Петревичи;242992599;53.1691;25.90962
182;Брэсцкая;Баранавіцкі;Добры Бор;Добрый Бор;242990331;52.98405;25.48322
183;Брэсцкая;Баранавіцкі;Колбавічы;Колбовичи;242990941;52.9446224;25.6060811
184;Брэсцкая;Баранавіцкі;Падгорная;Подгорная;242990933;52.9876931;25.56982
185;Брэсцкая;Баранавіцкі;Яжона;Ежона;242990931;52.9940989;25.6331538
186;Брэсцкая;Баранавіцкі;Паланечка;Полонечка;242995936;53.3504037;26.2613206
187;Брэсцкая;Баранавіцкі;Рэпічы;Репичи;242995938;53.3518505;26.284487
188;Брэсцкая;Баранавіцкі;Шчарбовічы;Щербовичи;242995944;53.3308734;26.2539591
189;Брэсцкая;Баранавіцкі;Вярхлессе;Верхлесье;242990974;53.20816;25.6075
190;Брэсцкая;Баранавіцкі;Вяршок;Вершок;242990936;53.1630784;25.6119275
191;Брэсцкая;Баранавіцкі;Ёлава;Ёлово;242990900;53.17057;25.67273
192;Брэсцкая;Баранавіцкі;Іванкавічы;Иванковичи;242991719;53.2228167;25.679147
193;Брэсцкая;Баранавіцкі;Лотвічы;Лотвичи;242990905;53.1899129;25.6724362
195;Брэсцкая;Баранавіцкі;Перхавічы;Перховичи;242990902;53.24283;25.65222
196;Брэсцкая;Баранавіцкі;Серабрышча;Серебрище;242990886;53.26026;25.64415
197;Брэсцкая;Баранавіцкі;Скародзінцы;Скородинцы;242990889;53.2555977;25.6309556
198;Брэсцкая;Баранавіцкі;Ягадная;Ягодная;242990971;53.1902808;25.5908394
199;Брэсцкая;Баранавіцкі;Буйнявічы;Буйневичи;242992502;53.3128059;25.8757019
200;Брэсцкая;Баранавіцкі;Вялікая Сваротва;Великая Своротва;242991592;53.36909;25.77736
201;Брэсцкая;Баранавіцкі;Вялікія Пурневічы;Великие Пурневичи;242992426;53.38386;25.89254
202;Брэсцкая;Баранавіцкі;Гайбуты;Гайбуты;242991576;53.34412;25.7729
203;Брэсцкая;Баранавіцкі;Галынка;Голынка;242991562;53.301423;25.8247323
204;Брэсцкая;Баранавіцкі;Голевічы;Голевичи;242992801;53.37793;25.86508
205;Брэсцкая;Баранавіцкі;Дабраполь;Доброполь;2798394347;53.2902654;25.7840012
207;Брэсцкая;Баранавіцкі;Емяльянавічы;Емельяновичи;242991598;53.3481242;25.8236424
208;Брэсцкая;Баранавіцкі;Зазер’е;Зазерье;242992793;53.38909;25.89975
209;Брэсцкая;Баранавіцкі;Застарынне;Застаринье;242991618;53.3332534;25.8452551
210;Брэсцкая;Баранавіцкі;Казловічы;Козловичи;242991553;53.30472;25.80096
211;Брэсцкая;Баранавіцкі;Малыя Пурневічы;Малые Пурневичи;242992423;53.38901;25.87744
212;Брэсцкая;Баранавіцкі;Навасёлкі;Новосёлки;242991621;53.3676749;25.7965067
213;Брэсцкая;Баранавіцкі;Пархімаўшчына;Пархимовщина;242991615;53.38334;25.83152
214;Брэсцкая;Баранавіцкі;Пачапава;Почапово;242991603;53.362343;25.8208296
215;Брэсцкая;Баранавіцкі;Сенічанята;Сениченята;242991571;53.33467;25.78251
216;Брэсцкая;Баранавіцкі;Чарнявічы;Черневичи;242991606;53.38034;25.77375
217;Брэсцкая;Баранавіцкі;Ялуцавічы;Ялуцевичи;242992433;53.3339;25.89632
218;Брэсцкая;Баранавіцкі;Бараціна;Баратино;242995924;53.3524644;26.3515473
219;Брэсцкая;Баранавіцкі;Дудзічы;Дудичи;242995948;53.3081763;26.3556615
220;Брэсцкая;Баранавіцкі;Ішкалдзь;Ишколдь;242995954;53.33888;26.35629
221;Брэсцкая;Баранавіцкі;Петкавічы;Петковичи;242995963;53.3080747;26.362257
222;Брэсцкая;Баранавіцкі;Родкавічы;Родковичи;242995956;53.28077;26.33998
223;Брэсцкая;Баранавіцкі;Гацішча;Гатище;242992399;53.2458743;26.0164462
224;Брэсцкая;Баранавіцкі;Дамашэвічы;Домашевичи;242992545;53.18996;25.9528
225;Брэсцкая;Баранавіцкі;Загор’е;Загорье;242994483;53.21735;26.08841
226;Брэсцкая;Баранавіцкі;Заполле;Заполье;242992557;53.23013;26.02352
227;Брэсцкая;Баранавіцкі;Кастрычніцкі;Костричницкий;3207149139;53.2011184;26.0246668
228;Брэсцкая;Баранавіцкі;Навікі;Новики;242992560;53.23683;26.0273
229;Брэсцкая;Баранавіцкі;Палянічыцы;Поленичицы;242992572;53.20876;25.99151
230;Брэсцкая;Баранавіцкі;Сталовічы;Столовичи;242994555;53.21408;26.03674
231;Брэсцкая;Баранавіцкі;Судары;Судари;242994480;53.22172;26.07614
232;Брэсцкая;Баранавіцкі;Торчыцы;Торчицы;242994465;53.2317379;26.0848087
233;Брэсцкая;Баранавіцкі;Цюкантавічы;Тюкантовичи;242992569;53.22927;26.00035
234;Брэсцкая;Баранавіцкі;Багушы;Богуши;242992229;52.9912378;25.9615168
235;Брэсцкая;Баранавіцкі;Кадычыцы;Кадычицы;242992218;52.96294;25.90568
236;Брэсцкая;Баранавіцкі;Навасады;Новосады;242992215;52.96826;25.88997
237;Брэсцкая;Баранавіцкі;Рагозніца;Рогозница;242992221;52.97341;25.99485
238;Брэсцкая;Баранавіцкі;Уцёс;Утёс;242992296;52.9697667;25.9329535
239;Брэсцкая;Баранавіцкі;Белалессе;Белолесье;242991708;53.20515;25.85409
240;Брэсцкая;Баранавіцкі;Забалацце;Заболотье;242991728;53.1842944;25.8398837
241;Брэсцкая;Баранавіцкі;Лебяжаны;Лебежаны;242992536;53.1823252;25.8687434
242;Брэсцкая;Баранавіцкі;Люшнева;Люшнево;242991684;53.23777;25.70852
243;Брэсцкая;Баранавіцкі;Першамайскі;Першемайский;2798433876;53.2318389;25.8422588
244;Брэсцкая;Баранавіцкі;Старая Мыш;Старая Мышь;242992528;53.19237;25.89332
245;Брэсцкая;Баранавіцкі;Цешаўле;Тешевле;242991705;53.2285092;25.8154585
246;Брэсцкая;Баранавіцкі;Цюхнявічы;Тюхневичи;242991710;53.2561464;25.807915
247;Брэсцкая;Баранавіцкі;Шпакоўцы;Шпаковцы;242991693;53.2401726;25.8220458
248;Брэсцкая;Брэсцкі;Дамачава;Домачево;242978994;51.7472998;23.593028
249;Брэсцкая;Брэсцкі;Багданы;Богданы;242979268;51.7129;23.57331
250;Брэсцкая;Брэсцкі;Барысы;Борисы;242979248;51.7365605;23.5874221
251;Брэсцкая;Брэсцкі;Гута;Гута;242979789;51.68716;23.75158
252;Брэсцкая;Брэсцкі;Дамброўка;Домбровка;242979273;51.7085919;23.6170319
253;Брэсцкая;Брэсцкі;Дубіца;Дубица;242979285;51.7923139;23.6780021
255;Брэсцкая;Брэсцкі;Дубок;Дубок;242979803;51.66466;23.70292
256;Брэсцкая;Брэсцкі;Кабёлка;Кобёлка;242979251;51.744448;23.631085
257;Брэсцкая;Брэсцкі;Ліпінкі;Липинки;242979254;51.68853;23.5976
258;Брэсцкая;Брэсцкі;Ляплёўка;Леплёвка;242979278;51.7624257;23.653772
