Вобласць;Раён;Назва без націскаў;Назва па-расейску;osm:Node ID
Брэсцкая;Баранавіцкі;Трацэвічы;Трацевичи;242994570
Брэсцкая;Баранавіцкі;Адахаўшчына;Адаховщина;242994531
Брэсцкая;Баранавіцкі;Анісімавічы;Анисимовичи;242992577
Брэсцкая;Баранавіцкі;Антанова;Антоново;242992602
Брэсцкая;Баранавіцкі;Вялікая Каўпеніца;Великая Колпеница;242992563
Брэсцкая;Баранавіцкі;Гірава;Гирово;242994519
Брэсцкая;Баранавіцкі;Дубава;Дубово;242994522
Брэсцкая;Баранавіцкі;Заброддзе;Забродье;242994515
Брэсцкая;Баранавіцкі;Лаўрынавічы;Лавриновичи;242994404
Брэсцкая;Баранавіцкі;Малая Каўпеніца;Малая Колпеница;242992565
Брэсцкая;Баранавіцкі;Новы Свет;Новый Свет;242994477
Брэсцкая;Баранавіцкі;Якімавічы;Якимовичи;242994558
Брэсцкая;Баранавіцкі;Альсевічы;Ольсевичи;242994474
Брэсцкая;Баранавіцкі;Дуброўна;Дубровно;242994486
Брэсцкая;Баранавіцкі;Залюбічы;Залюбичи;242996029
Брэсцкая;Баранавіцкі;Кломпікі;Кломпики;242996006
Брэсцкая;Баранавіцкі;Крошын;Крошин;242994549
Брэсцкая;Баранавіцкі;Макашы;Макаши;242996015
Брэсцкая;Баранавіцкі;Падлясейкі;Подлесейки;242996023
Брэсцкая;Баранавіцкі;Прыдаткі;Придатки;242994471
Брэсцкая;Баранавіцкі;Скарчава;Скарчево;242994552
Брэсцкая;Баранавіцкі;Стары Двор;Старый Двор;242994494
Брэсцкая;Баранавіцкі;Уласы;Уласы;242994468
Брэсцкая;Баранавіцкі;Юшкавічы;Юшковичи;242996018
Брэсцкая;Баранавіцкі;Ятвезь;Ятвезь;242996032
Брэсцкая;Баранавіцкі;Бярозаўка;Берёзовка;242991653
Брэсцкая;Баранавіцкі;Груды;Груды;242991658
Брэсцкая;Баранавіцкі;Грыцавец;Грицевец;3127545397
Брэсцкая;Баранавіцкі;Гута;Гута;242991817
Брэсцкая;Баранавіцкі;Лесіна;Лесино;242992245
Брэсцкая;Баранавіцкі;Лясная;Лесная;242991814
Брэсцкая;Баранавіцкі;Паўлінава;Павлиново;242991649
Брэсцкая;Баранавіцкі;Сваяшкі;Свояшки;242991805
Брэсцкая;Баранавіцкі;Тартакі;Тартаки;242991808
Брэсцкая;Баранавіцкі;Вялікая Валахва;Великая Волохва;242992235
Брэсцкая;Баранавіцкі;Глінішча;Глинище;242992618
Брэсцкая;Баранавіцкі;Емяльянаўка;Емельяновка;242992242
Брэсцкая;Баранавіцкі;Замошша;Замошье;2798232546
Брэсцкая;Баранавіцкі;Кунцавічы;Кунцевичи;242992590
Брэсцкая;Баранавіцкі;Малахоўцы;Малаховцы;242992239
Брэсцкая;Баранавіцкі;Малая Валахва;Малая Волохва;242992593
Брэсцкая;Баранавіцкі;Мірны;Мирный;2798262280
Брэсцкая;Баранавіцкі;Млынок;Млынок;242992247
Брэсцкая;Баранавіцкі;Светлы;Светлый;2798284160
Брэсцкая;Баранавіцкі;Скварчыцы;Скварчицы;242992250
Брэсцкая;Баранавіцкі;Узногі;Узноги;242992610
Брэсцкая;Баранавіцкі;Ястрамбель;Ястрембель;242992232
Брэсцкая;Баранавіцкі;Андрэеўцы;Андреевцы;242991580
Брэсцкая;Баранавіцкі;Данейкі;Данейки;242991601
Брэсцкая;Баранавіцкі;Зорычы;Зоричи;242992496
Брэсцкая;Баранавіцкі;Катмінаўцы;Катминовцы;2800426655
Брэсцкая;Баранавіцкі;Крупляны;Крупляны;242991555
Брэсцкая;Баранавіцкі;Крутаўцы;Крутовцы;242991558
Брэсцкая;Баранавіцкі;Кузявічы;Кузевичи;242991547
Брэсцкая;Баранавіцкі;Малая Сваротва;Малая Своротва;242991568
Брэсцкая;Баранавіцкі;Міцкевічы;Мицкевичи;242991713
Брэсцкая;Баранавіцкі;Моўчадзь;Молчадь;242991716
Брэсцкая;Баранавіцкі;Саўцавічы;Савцевичи;242990851
Брэсцкая;Баранавіцкі;Соргавічы;Сорговичи;242991550
Брэсцкая;Баранавіцкі;Страмілаўшчына;Стремиловщина;242991609
Брэсцкая;Баранавіцкі;Каўпакі;Колпаки;242991823
Брэсцкая;Баранавіцкі;Мілавіды;Миловиды;242992299
Брэсцкая;Баранавіцкі;Падасоўцы;Подосовцы;242991779
Брэсцкая;Баранавіцкі;Падкрыніца;Подкриница;242991820
Брэсцкая;Баранавіцкі;Стрэлава;Стрелово;242991811
Брэсцкая;Баранавіцкі;Ямічна;Ямично;242991795
Брэсцкая;Баранавіцкі;Завоссе;Заосье;242994627
Брэсцкая;Баранавіцкі;Круглікі;Круглики;242994633
Брэсцкая;Баранавіцкі;Мелехавічы;Мелеховичи;242994489
Брэсцкая;Баранавіцкі;Міхнаўшчына;Михновщина;242994639
Брэсцкая;Баранавіцкі;Мядзеневічы;Меденевичи;242994617
Брэсцкая;Баранавіцкі;Новыя Войкавічы;Новые Войковичи;242994630
Брэсцкая;Баранавіцкі;Стайкі;Стайки;242994497
Брэсцкая;Баранавіцкі;Старыя Войкавічы;Старые Войковичи;242994492
Брэсцкая;Баранавіцкі;Бараўцы;Боровцы;242992616
Брэсцкая;Баранавіцкі;Гінцавічы;Гинцевичи;242992596
Брэсцкая;Баранавіцкі;Дзераўная;Деревная;242991641
Брэсцкая;Баранавіцкі;Драгабыль;Дрогобыль;242992538
Брэсцкая;Баранавіцкі;Зорная;Зорная;242992581
Брэсцкая;Баранавіцкі;Казлякевічы;Козлякевичи;2798317061
Брэсцкая;Баранавіцкі;Лугавая;Луговая;242992541
Брэсцкая;Баранавіцкі;Магіляны;Могиляны;242992622
Брэсцкая;Баранавіцкі;Мір;Мир;242992606
Брэсцкая;Баранавіцкі;Новая Мыш;Новая Мышь;242992584
Брэсцкая;Баранавіцкі;Новы;Новый;2798344310
Брэсцкая;Баранавіцкі;Пастарынне;Постаринье;242992548
Брэсцкая;Баранавіцкі;Прыазёрная;Приозёрная;242992574
Брэсцкая;Баранавіцкі;Пятрэвічы;Петревичи;242992599
Брэсцкая;Баранавіцкі;Цяплівады;Тепливоды;242991702
Брэсцкая;Баранавіцкі;Добры Бор;Добрый Бор;242990331
Брэсцкая;Баранавіцкі;Колбавічы;Колбовичи;242990941
Брэсцкая;Баранавіцкі;Падгорная;Подгорная;242990933
Брэсцкая;Баранавіцкі;Яжона;Ежона;242990931
Брэсцкая;Баранавіцкі;Паланечка;Полонечка;242995936
Брэсцкая;Баранавіцкі;Рэпічы;Репичи;242995938
Брэсцкая;Баранавіцкі;Шчарбовічы;Щербовичи;242995944
Брэсцкая;Баранавіцкі;Вярхлессе;Верхлесье;242990974
Брэсцкая;Баранавіцкі;Вяршок;Вершок;242990936
Брэсцкая;Баранавіцкі;Ёлава;Ёлово;242990900
Брэсцкая;Баранавіцкі;Іванкавічы;Иванковичи;242991719
Брэсцкая;Баранавіцкі;Лотвічы;Лотвичи;242990905
Брэсцкая;Баранавіцкі;Палонка;Полонка;242991638
Брэсцкая;Баранавіцкі;Перхавічы;Перховичи;242990902
Брэсцкая;Баранавіцкі;Серабрышча;Серебрище;242990886
Брэсцкая;Баранавіцкі;Скародзінцы;Скородинцы;242990889
Брэсцкая;Баранавіцкі;Ягадная;Ягодная;242990971
Брэсцкая;Баранавіцкі;Буйнявічы;Буйневичи;242992502
Брэсцкая;Баранавіцкі;Вялікая Сваротва;Великая Своротва;242991592
Брэсцкая;Баранавіцкі;Вялікія Пурневічы;Великие Пурневичи;242992426
Брэсцкая;Баранавіцкі;Гайбуты;Гайбуты;242991576
Брэсцкая;Баранавіцкі;Галынка;Голынка;242991562
Брэсцкая;Баранавіцкі;Голевічы;Голевичи;242992801
Брэсцкая;Баранавіцкі;Дабраполь;Доброполь;2798394347
Брэсцкая;Баранавіцкі;Дразды;Дрозды;242991565
Брэсцкая;Баранавіцкі;Емяльянавічы;Емельяновичи;242991598
Брэсцкая;Баранавіцкі;Зазер’е;Зазерье;242992793
Брэсцкая;Баранавіцкі;Застарынне;Застаринье;242991618
Брэсцкая;Баранавіцкі;Казловічы;Козловичи;242991553
Брэсцкая;Баранавіцкі;Малыя Пурневічы;Малые Пурневичи;242992423
Брэсцкая;Баранавіцкі;Навасёлкі;Новосёлки;242991621
Брэсцкая;Баранавіцкі;Пархімаўшчына;Пархимовщина;242991615
Брэсцкая;Баранавіцкі;Пачапава;Почапово;242991603
Брэсцкая;Баранавіцкі;Сенічанята;Сениченята;242991571
Брэсцкая;Баранавіцкі;Чарнявічы;Черневичи;242991606
Брэсцкая;Баранавіцкі;Ялуцавічы;Ялуцевичи;242992433
Брэсцкая;Баранавіцкі;Бараціна;Баратино;242995924
Брэсцкая;Баранавіцкі;Дудзічы;Дудичи;242995948
